@relation testing

@attribute User string
@attribute Text string
@attribute Sentiment {positive,negative,neutral}

@data
'MimodiCreta','RT @borghiclaudio deriva pauperista far credere siamo crisi aragoste marino (peraltro scandalose) sar nostr ',?
'EnrichettaNegri','RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',?
'To_Arise','RT @EmilianoLiuzzi #Marino giorno dimetter sar grazie ristoratori romani dice lunga stato comatoso partiti ',?
'VuonoGiuseppe','Quando Marino fu cacciato Pittsburgh falsi rimborsi ',?
'Corrado_info','RT @carlaruocco1 CONFERENZA STAMPA M5S CHIEDERE DIMISSIONI MARINO DOPO LENNESIMO SPRECO SOLDI PUBBLICI Dopo ',?
'cipriani90','RT @gmartinelli1985  autocondonato spese pazzesco #Marinodimettiti #Marino ',?
'slavina6','RT @GhitaIacono Smentita Comunit #SantEgidio dichiarazioni Marino @M5SRoma #Marinodimettiti ',?
'cipriani90','RT @ZucconiPark Ecco bravo Marino Paga conto vai casa #Marinodimettiti ',?
'borriroberto','RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',?
'cipriani90','RT @FabriFernet #marino pezzente canta pure #bellaciao #marinoDIMETTITI ',?
'cipriani90','RT @antoniobordin fanno dimettere #Marino solo perch #PD Coop devono papparsi appalti #Giubileo #Marinodimettiti ht ',?
'giuliocampese','RT @RegoliClaudia Municipio Roma III buca strada gomma spaccata GRAZIE MARINO  ',?
'LeonePortoghese','Marino indagato spese lui Restituisco 20mila euro citt Un&#39ammissione colpa desi ',?
'Exy_xy','RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',?
'Blandamura','Marino indagato spese lui Restituisco 20mila euro citt Un&#39ammissione colpa desi ',?
'cipriani90','RT @kappaespada Marino ha pagato colazione reduce Auschwitz carta credito Comune 8 euro #Marinodimettiti ',?
'augustosantori','Romani credono LAustralia essere vergognoso sia pi vicina 20000 euro vuole regalare ',?
'GhitaIacono','RT @titom5s domanda sorge spontanea passi notti hotel regali fiori mangi ristorante spese nostre ',?
'GhitaIacono','RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',?
'cipriani90','RT @Penelopy2000 #Marino barava professore Recidivo #Marinodimettiti ',?
'GhitaIacono','RT @BarillariM5S Marino ha mentito romaniNon schioda perche vincerebbero grillini E vero Dimostreremo amministra un ',?
'MassimoFasciolo','RT @BarillariM5S Marino ha mentito romaniproprio ZingarettiNon schiodano poltrona paura possano ',?
'cipriani90','RT @MadiaElenaBosch Ho parlato moglie #Marino ha detto conosce ogni caso lha invitato lei #Marinodimet ',?
'RegoliClaudia','Municipio Roma III buca strada gomma spaccata GRAZIE MARINO  ',?
'cipriani90','RT @massimoIazzari Paolo Mieli chiede dimissioni #Marino #lagabbia #la7 #marinodimettiti ',?
'cipriani90','RT @emanuelemoraldi #lagabbia dimostra #Marino ha scaricato cena dirigenti Comunit S Egidio smentite stessi #Mar ',?
'To_Arise','@romafaschifo @LaGabbiaTw  onesto ora Marino difendi pi Sentiamo ',?
'giorgiogaias92','HA STUFATO PD ',?
'gfaccolla','#Marino  quei bambini hanno amici immaginari solo sinventa cene ',?
'ChiaraColosimo','RT @mauroev Marino dimetta coloro sono stati sindaci #Roma presidenti regione Lazio restituiscano spese ra ',?
'marytaxi65','RT @aledibattista restituzioni #Marino sanno tanto patteggiamento  Renzi dovrebbe pagare danno immagine Roma ',?
'DilotKale','RT @GhitaIacono @marcellodevito Voglio dirlo orgoglio  stato #M5S stanare #Marino #Marinodimettiti @beppegrillo ',?
'MPenikas','RT @demmy747 certezze Marinoabbandonato #PD traballano sussurro dimissioni diffonde ',?
'tilt61','RT @tosovale ristorante #Marino  mangiato pure dignit dimettersi ',?
'newsfeed_it','Ignazio Marino ha stufato Pd Fonti dem passo dimissioni poi colpo dala ',?
'tosovale','ristorante #Marino  mangiato pure dignit dimettersi ',?
'lorellacorelli','RT @VittorioSgarbi @VittorioSgarbi Marino  Paperino  cattivo gliene viene bene unaRenzi invece  Topolino c ',?
'lorellacorelli','RT @BelpietroTweet Marino rinuncia carta credito Comune vede cera rimasto soldo ',?
'cipriani90','RT @massimogreco10 #Marino  quel compagno classe pi parlava pi combinava guai #Marinodimettiti ',?
'nonovvio','RT @amperrino Marino sussurro dimissioni Il sindaco ormai  sotto choc  Affaritalianiit ',?
'mauroev','Marino dimetta coloro sono stati sindaci #Roma presidenti regione Lazio restituiscano spese rappresentanza ',?
'AmerioRosanna','Marino mente sapendo spudoratamente mentire sciocco bugiardo importa giova lasciarlo carica ',?
'To_Arise','@SabellaAlfonso @museiincomune @Roma @Turismoromaweb @ignaziomarino @visitlazio  onesto ora Marino  credibile ',?
'cipriani90','RT @EnricoPazzi genovese offriva tasca propriasembrava strano Infatti pagava soldi romani #Marino #Marinodimettiti ',?
'nonovvio','RT @italiainsieme #ScontrinoGate ora liberiamo Roma #Marino ',?
'AchilleNobiloni','Detto fra #Marino pu risparmiare 20000  tanto cacciano stesso via @HuffPostItalia ',?
'Nad45P','Cari Compagni Compagne qui qui perch altri termini sfuggono sono offensivi ha ',?
'agabbia','RT @Piovegovernolad Marino piagnucola annuncia Pagher tasca mia (Certo si prima   ',?
'il__filosofo','RT @emiddionovi #Cota governatore Piemonte processato cacciato mutanda verde Marino rimane ladruncolo moralista ',?
'agabbia','RT @Piovegovernolad Marino pronto dimettersi secondo fonti staff Campidoglio (Dimissioni   h ',?
'gaetano_rizza','RT @carlaruocco1 CONFERENZA STAMPA M5S CHIEDERE DIMISSIONI MARINO DOPO LENNESIMO SPRECO SOLDI PUBBLICI Dopo ',?
'barkilphedro_','Spese Ignazio Marino Lombardi Battista (M5S) Ha mentito deve dimettere ',?
'cipriani90','RT @Alfredo22542194 Marino te cercano casamonacaavranno qualche incarico datte #Marinodimettiti ',?
'giorgiogaias92','RT @lucarocca72 #Pd lha ancora capito ormai essere imbarazzante Roma  pi solo #Marino soglia lha  ',?
'cipriani90','RT @FraLisci75 diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti  ',?
'gigidepalo','#Marino Regalo citt quei 20mila  spesi rappresentanza Fermatelo Consigliatelo #testaiaffammaledasolo ',?
'vecchiotac','Ho letto Marino pagher spese fatte carta credito Comune sto commuovermi ',?
'cipriani90','RT @paceinterrait Ora #Marino fa gesto signore Rinuncia bancomat Comune rimborsa spese Troppo facile cos dimett ',?
'CarloDelNero','ha detto ristoratore Marino  stato cena 15 anni fa  andato 3 volte toilette ',?
'eurovisionvideo','Eurovision 2015 San Marino Anita Simoncini & Michele Perniola Chain Of Lights Video ',?
'EnrichettaNegri','RT @FraLisci75 diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti  ',?
'FraLisci75','diamine deve fare politico dimettersi Italia#Marino situazione  diventata patetica aspetti #Marinodimettiti ',?
'lgtricoli','RT @graziellafiore figure imbarazzanti #Marino livello mondiale sono peggiori scioglimento Comune Mafia #lineanott ',?
'flinx15','RT @suzukimaruti Ho scritto post caso Marino cercando mettere ordine pensieri  venuto fuori elenco puntato ',?
'emanuelmaddalen','RT @ANNAQuercia Carlo Verdone Marino ha fallito diamo fiducia 5 Stelle  Termometro Politico ',?
'MonicaFortino','Cosa c dietro linciaggio mediatico demolizione Ignazio Marino  verit ',?
'angelorgiordano','Paolo Verri Sindaco Roma Alemanno Matera 2019 contentiS vabb sgombra macerie #Marino giubileoI Casamonica ',?
's_fusco','RT @virginiaraggi ultimi atti Marino prima dimissioni sono stati molto confusionari Ancora sappiamo sua ',?
'HSIXTYNINE','@orfini Sei senza vergogna cialtrone FirenzeMarino fottuto incapacitFate schifo Siete falsi pieni indagati ',?
'PPicerni','RT @collecolluso #DiBattista #M5S  Ora PD ha unico obiettivoSMARCARSI #MARINO # ',?
'PPicerni','RT @collecolluso #DiBattista #M5S  CAPIRE MEGLIO QUESTIONE #MARINO #BERSAGLIOMOBI ',?
'marino29b','RT @Rinaldieuro Ho limpressione dopo dimissioni #Marino prossimi giorni Roma uscir fuori tanta merda seppe ',?
'cipriani90','RT @valys mentre distraggono #Marino #Senato prosegue smantellamento #FermateLoScempiodellaCostituzione ',?
'albamontori','HA PAURA IGNAZIO MARINO ECCO VERE RAGIONI LINCIAGGIO (SENZA PRECEDENTI)  FACE ',?
'zizionice','RT @DavideRicci1973 vendetta #Marino Far nomi tiro gi tutti Ignazio stai calmo ora #PD dar altra poltrona cam ',?
'LUCADIMEO93','cera Kill Silvio posto Marino cene faceva ruby insieme bungabunga era ok ',?
'ebergonzaga','Marino Pur cacciarmi avrebbero messo cocaina tasca via @lastampa ',?
'PPicerni','RT @Rinaldieuro Ho limpressione dopo dimissioni #Marino prossimi giorni Roma uscir fuori tanta merda seppe ',?
'portoghesi','RT @jacopoiacoboni Bersani Letta Marino C (sola) cosa comune denigrazione massiccia pianificata ha sempre preceduto le ',?
'_rjardon','RT @TrastevereRM 36 ore allarme meteo x Tevere Aniene e stavolta Marino centra nulla quel  giusto  giusto ',?
'pempipot','Verso paese stupidi Amen ',?
'comodino80','Photo Comunque me  MARINO SINDACO ',?
'luigidiplacido','Ottima analisi ',?
'ndiiorio1','RT @lumorisi UNO #disastroRoma #disastroPD #Marino #Romaliberata #SalviniLeader #piazzapulita #quintacolonna #virusrai2 ',?
'SpecialeLuca','RT @1starrynight #Marino  stato peggior sindaco Roma Almeno secondo camioncini abusivi dipendenti Atac vigili urbani  ',?
'Hellzapoppin80','RT @BaldiniEnrica @CRCalcagno @Hellzapoppin80 @chiarameazza Prepariamoci Marino Roma 2016 tipo Civati Genova ',?
'masgreek','RT @GiorgiaMeloni  finito lincubo #Marino Caso #Roma ultimo lunga serie fallimenti amministrazioni guidate sx ',?
'masgreek','RT @GiorgiaMeloni #Marino vergogna infinita #PD prolunghi agonia firmi insieme consiglieri dimissioni immediate ST ',?
'cymaryella','RT @valys mentre distraggono #Marino #Senato prosegue smantellamento #FermateLoScempiodellaCostituzione ',?
'VirusRai2','@erikaleciancio commenta dimissioni #marino tweet sar letto diretta visibile qui ',?
'fran_orsini','@bon1z @66pallina sembra lepitaffio #marino ',?
'VirusRai2','@carlogozzober commenta dimissioni #marino tweet sar letto diretta visibile qui ',?
'Bigalfry','Roboanti discorsi sulletica piccoli imbrogli Ecco Marino ',?
'Gloriamonaco','manco lironia Crozza Marino chi domanda campagna primarie chi ',?
'valy_s','mentre distraggono #Marino #Senato prosegue smantellamento #FermateLoScempiodellaCostituzione ',?
'eguanella','RT @MadameSwann caso Marino applica perfettamente logica Cigno Nero sappiamo  molto pi importante ch ',?
'anitamarialaila','Roma inizia dopoMarino Lui Sto bene vado celebrare matrimonio Salvini lancia ',?
'vanillamarcodi1','RT @lastampa Renzi rompe silenzio Bene dimissioni Marino cerano alternative ',?
'SchirruLaura','RT @suzukimaruti Ho scritto post caso Marino cercando mettere ordine pensieri  venuto fuori elenco puntato ',?
'cherubinapazza','Guida politica Ignazio Marino ingenui beoti ',?
'FBaraggi','pure er pupone magna Roma tacci @beppegrillo ',?
'Lucio_Apuleio','RT @lucasappino S Orfini disse Cacciare #Marino  linea Mafia ricordarlo pu esser utile @espresso ',?
'pandistelle','RT @frafuma sindaco Parigi @AnneHidalgo Perfino Francia hanno chiara situazioneAltro scontrini#Marino #Roma ',?
'kickmyballs222','RT @carlotaormina Marino e ladro deve andare calciSe Renzi ha fatto stessa cosaProcura Roma indagaProcura Firenze igno ',?
'campuseverest','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'Sostenitori1','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'tictactappi','RT @ilfoglioit #marinosiedimesso ora Niente paura #Grillo vince @masechi ',?
'ultimenews','Roma via dopoMarino Salvini lancia Meloni  ',?
'cipriani90','@foxrino Restituisci maschera #Marino ',?
'virginiaraggi','ultimi atti Marino prima dimissioni sono stati molto confusionari Ancora sappiamo sua ',?
'mafaldina61','RT @lucasappino S Orfini disse Cacciare #Marino  linea Mafia ricordarlo pu esser utile @espresso ',?
'socialcom15','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'LFerlaino','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'italiadigital','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'socialcom15','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'mikytavolo13','RT @flower @maurorizzimr @mikytavolo13 credo MOLTISSIMI volessero dimissioni #Marino  dimesso pressioni  ',?
'NoImuAgricola','VIDEO YouTube CrozzaMarino Ora posso visitare Roma  ROMA  sindaco Ignazio Marino finisce pe ',?
'MoreschiLeila','Marino incassa sostegno sindaci Parigi New York Hidalgo ha osato sfidare mafia ',?
'masgreek','RT @marcomarsilio sono pi parole Marino ha ancora formalizzato dimissioni ieri (gioved) ha ',?
'flower___','RT @DavideRicci1973 vendetta #Marino Far nomi tiro gi tutti Ignazio stai calmo ora #PD dar altra poltrona cam ',?
'lucabruno18','@GoghiBostoro @kidstu @giulianocossari @ignaziomarino salutm soretsenti ho invitato marino cena  dici  ricorder  ',?
'mafiacapitale','@MafiaCapitale MARINO SMENTISCE TUTTI  VEDO FRASI INESISTENTI MAIL WALTER VELTRONI ',?
'flower___','@maurorizzimr @mikytavolo13 credo MOLTISSIMI volessero dimissioni #Marino  dimesso pressioni partito ',?
'LucianoOgnibene','RT @CINZIA1172 GASPARRI Marino ha mentito ha tutti minuto silenzio morte lingua italianaChe tristezza  D ',?
'Monialustri','RT @lucasappino S Orfini disse Cacciare #Marino  linea Mafia ricordarlo pu esser utile @espresso ',?
'Pretore75','RT @GAlessandrino Sale Marino Marte Oh pur stare Roma andrebbe ovunque ',?
'Ericballabene','Ho limpressione quest accanimento confronti #Marino sia diversivo nascondere problemi #Roma dellItalia ',?
'FulvieT','RT @Pinucciosono Destinazione Svezia parte Ciampino primo gruppo rifugiati realt erano 20 poi hanno scoperto Marino mezzo ',?
'enzocarnazza','Inciucio MeloniRenzi5s far fuori Marino ',?
'AntonioDecorato','Marino Golinelli La fede laica restituire fortuna ho ricevuto via @lastampa ',?
'BlogNews_it','sindaco New York Bill De Blasio difende Ignazio Marino  leader ha ispirato ',?
'flower___','RT @maurorizzimr Segnalo affetto far dimettere #Marino  stato Pd ',?
'FBaraggi','Tirando somme #verdini  mostro #compagnodimerende #deluca #amicofraterno  allora #mostrodilochness era #marino ',?
'pas_alb','Marino ha diritto 20gg xche aspettare 7 mesi elezioni 27 giorni ',?
'tranellio','RT @carlotaormina Marino e ladro deve andare calciSe Renzi ha fatto stessa cosaProcura Roma indagaProcura Firenze igno ',?
'MacondoZuma','RT @EmilianoContino Abbiamo scoperto ha preso cocaina mettere tasche #marino #sabella #sclerototale #BERSAGLIOMOBILE ',?
'To_Arise','RT @ElioLannutti #Dimissioni #MarinoOsservatore Romano Unica certezza #macerie Buche voragini disservizi #dilettantismo puro htt ',?
'masgreek','RT @diRomapuntocom #Campidoglio #Roma rimpianger #Marino Ogni punto ha portato #dimissioni  ',?
'cipriani90','RT @maurorizzimr Segnalo affetto far dimettere #Marino  stato Pd ',?
'cipriani90','RT @EmilianoContino Abbiamo scoperto ha preso cocaina mettere tasche #marino #sabella #sclerototale #BERSAGLIOMOBILE ',?
'mafaldina61','RT @EmilianoContino Abbiamo scoperto ha preso cocaina mettere tasche #marino #sabella #sclerototale #BERSAGLIOMOBILE ',?
'cipriani90','RT @DavideRicci1973 vendetta #Marino Far nomi tiro gi tutti Ignazio stai calmo ora #PD dar altra poltrona cam ',?
'Bale6beil','RT @spinozait Marino  dimesso Ora metro sembra nuova[@pirata21] ',?
'mie_idee','sindaco New York Bill De Blasio difende Ignazio Marino  leader ha ispirato ',?
'mikytavolo13','RT @DavideRicci1973 vendetta #Marino Far nomi tiro gi tutti Ignazio stai calmo ora #PD dar altra poltrona cam ',?
'Scintillanza','RT @GAlessandrino Sale Marino Marte Oh pur stare Roma andrebbe ovunque ',?
'Arsenio_','RT @yanez72 Salvate soldato Marino #fb ',?
'lucabruno18','@AnneHidalgo @ignaziomarino signora marino vuole fare po pulizia nn tenga nomi partito complice mafia ',?
'1001ptsIT','VIDEO YouTube CrozzaMarino Ora posso visitare Roma ',?
'kickmyballs222','RT @EmilianoContino Abbiamo scoperto ha preso cocaina mettere tasche #marino #sabella #sclerototale #BERSAGLIOMOBILE ',?
'GiorgioVaccaro','RT @isolahokkaido @LUDOVICOTODINI infatti  mossa ',?
'mikytavolo13','RT @maurorizzimr Segnalo affetto far dimettere #Marino  stato Pd ',?
'MatteoCorreani','RT @pokedem VIDEO YouTube CrozzaMarino Ora posso visitare Roma ',?
'GiorgioVaccaro','RT @LUDOVICOTODINI Marino cade scontrino Renzi fa dimettere #Renzi va sciare famiglia seguito aereo Stato  ',?
'To_Arise','RT @stomigrando meno quarto dora giornalista ha confezionato servizio marino Bersaglio Mobile iscriver al ',?
'GiorgioVaccaro','RT @BeatricedimaDi #Marino   ieri mangio ci presume abbia gi restituito carta credito Comune #Marino ',?
'GiorgioVaccaro','RT @BeatricedimaDi #Marino Far nomi tiro gi tutti Ultima scoperta scientifica amnesie dimissioni fanno tornare memo ',?
'GiorgioVaccaro','RT @BeatricedimaDi #Marino minaccia tirare fuori sms appunti mail Quindi chiedeva cera faceva risposta g ',?
'xanil01','Lettera dellarcivescovo Marino aspettiamo Philadelphia ',?
'kidstu','RT @EmilianoContino Abbiamo scoperto ha preso cocaina mettere tasche #marino #sabella #sclerototale #BERSAGLIOMOBILE ',?
'GiorgioVaccaro','RT @BeatricedimaDi #Marino firma assegno 1970400  restituzione spese Ora attendiamo ansia compagno Renzi ',?
'FrancescoFusc81','RT @VirusRai2 @FrancescoFusc81 commenta dimissioni #marino tweet sar letto diretta visibile qui ',?
'mariamuser','Attenzione RomaniMarino minaccia ripensarci 20 giorni ',?
'LuzPagoda','Hanno parlato bene consiglieri #M5s ieri #inmezzora #Marino ha rotto passato  stato rotto lui #Pd  marcio ',?
'zazoomblog','#Renzi  rotto rapporto Marino citt #Renzi #Si # #rotto #il #rapporto  ',?
'AntonioSpadafo4','RT @PiramideRossa ignoti #scontrinologi #M5S cacciano Marino senza nessuna prova doverano quando cera Alemanno #inmezz ',?
'nandupopusss','Vaticano Renzi fanno fuori Marino  perch sar Giubileo Papa Francesco  solo lennesimo potente servizio potenti ',?
'TripAZnet','Renzi Si  rotto rapporto Marino citt Matteo Renzi ripensa ',?
'Cover_forever','tema #Marino sono pi illuminanti parole unattrice opinioni mille giornalisti ',?
'Clouseau76','RT @federiconero marino minaccia fare nomi prima faceva perch cambio lasciavano stare campidoglio sarebbe quel ',?
'Choroukenzo','RT @aledibattista #Marino  pesce piccolo partito PD pericoloso Renzi temendo M5S ha preferito portare Roma caos  ',?
'FacchinettiSil','RT @aledibattista #Marino  pesce piccolo partito PD pericoloso Renzi temendo M5S ha preferito portare Roma caos  ',?
'ulde_sco','RT @lpatrizia Coro Ncd fuori Campidoglio Marino te devi ann Basterebbe solo stare parte #MarinoResisti ',?
'FacchinettiSil','RT @ArsenaleKappa Calvario Roma ecco totosindaco Di Battista M5S Meloni FDI Lega Pippo Paperino PD #Marino ',?
'ellyesse','@Maxim1114 @YTomaselli @PossibileIt @civati @gghrrrr forse eri perso post quattro giorni fa ',?
'Towheehillart','RT @pentotaldoll #marino FAMIGGHIA CASA ANZI GALERA GRAZIE @beppegrillo FUTURO VOGLIO STA COMINCIANDO ',?
'ottimistasemper','RT @lucabattanta Incredibile tg1 riescano fare servizio errori Marino senza citare membri pd Giunta coinvolt ',?
'nella_norma','RT @aledibattista #Marino  pesce piccolo partito PD pericoloso Renzi temendo M5S ha preferito portare Roma caos  ',?
'VirusRai2','@egyzia commenta dimissioni #marino tweet sar letto diretta visibile qui ',?
'VirusRai2','@exprofcasapens commenta dimissioni #marino tweet sar letto diretta visibile qui ',?
'ifardel','RT @ArsenaleKappa Calvario Roma ecco totosindaco Di Battista M5S Meloni FDI Lega Pippo Paperino PD #Marino ',?
'ermejo5','RT @PiramideRossa Parlano onest affossano lonesto Marino dicono democratici dialogano caccapound vomito @Klingsor8 ',?
'fmamato','Salvate soldato Marino  micromegaonline  micromega ',?
'CrisNettuni','RT @welikechopin Nessuna lha vista agenda #Marino tranne maestro @makkox pu perdere #makkoxtutorial #gazebo ',?
'ottimistasemper','RT @TommyBrain Bene mentre parla Marino Governo Cloaca regala Amici Finanzieri Poste Italiane Ferrari Ferrovie ',?
'MPenikas','RT @ArsenaleKappa Calvario Roma ecco totosindaco Di Battista M5S Meloni FDI Lega Pippo Paperino PD #Marino ',?
'MPenikas','RT @aledibattista #Marino  pesce piccolo partito PD pericoloso Renzi temendo M5S ha preferito portare Roma caos  ',?
'GhitaIacono','RT @ArsenaleKappa Calvario Roma ecco totosindaco Di Battista M5S Meloni FDI Lega Pippo Paperino PD #Marino ',?
'GhitaIacono','RT @aledibattista #Marino  pesce piccolo partito PD pericoloso Renzi temendo M5S ha preferito portare Roma caos  ',?
'FacchinettiSil','RT @tranellio Caso #Marino sintesi siccome altri hanno rubato molto pi Lui  ingiustizia sia costretto dimissioni ',?
'larizza1950','@RepubblicaTv prima Marino rapporto citt Roma lha rotto Pd ',?
'PiramideRossa','ignoti #scontrinologi #M5S cacciano Marino senza nessuna prova doverano quando cera Alemanno #inmezzora #Rai3 ',?
'DonatellaRu','RT @tranellio Caso #Marino sintesi siccome altri hanno rubato molto pi Lui  ingiustizia sia costretto dimissioni ',?
'betman','RT @gianlusempri Ormai citt gira solo nome #Capitano #sindaco #Roma @TottiOfficial #Marino ',?
'CerciElena','RT @LUDOVICOTODINI Ora ripensa TGCOM24 Roma Renzi primarie post Marino Sabella commissario Ok scelgo io ',?
'ottimistasemper','RT @FmMosca Fatemi capire fra dichiarazioni smentite sindaco Marino minaccia Renzi mentre Orfini minaccia Marino Aveva ragion ',?
'miss0uri4','RT @welikechopin Nessuna lha vista agenda #Marino tranne maestro @makkox pu perdere #makkoxtutorial #gazebo ',?
'marytaxi65','RT @PatriziaRametta RENZI PUOSPENDERE 600MILA PROVINCIA EURO PRANZI CHIEDERE MARINO DIMETTERSI 20MILA ',?
'marliesvoss1','RT @max888ant Roma ha visto passare Re Imperatori Papi Sindaci Solo Gatti restano  #Marino ',?
'lilysei','RT @LUDOVICOTODINI Ora ripensa TGCOM24 Roma Renzi primarie post Marino Sabella commissario Ok scelgo io ',?
'the_newstweets','Huffingtonpostit  Dimissioni Marino campagna elettorale coincide Giubileo entrare Campidoglio ',?
'ottimistasemper','RT @GiuliaDiVita fanno giustamente notare fino quando chiedevamo dimissioni Marino @orfini era linea mafia ',?
'MassimoBordin','RT @AntFuniciello Roma comunali 1993 Rutelli 684529 1997 Rutelli 983902 2001 Veltroni 800275 2006 Veltroni 926932 2008 Rutelli 759252 ',?
'tyxaqek','RT @mipiaceBarca Intervista radiofonica Radio1 @fabriziobarca caso Marino Pd romano ',?
'ottimistasemper','RT @Piovegovernolad Giampaolo Pansa parla Renzi Orfini Marino le Sorelle Bandiera stanno sfasciando   h ',?
'fresia__','RT @armandopiu #Marino abbiamo appreso sinistra ha copiato destra far funzionare macchina fango #virus ',?
'Siroblue','Poi dice Marino ',?
'VocidiSINISTRA','#sinistra  Considerazioni freddo caso Marino Caso complesso interessante Marino presta ',?
